Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
reichste	113	31	5	5	0	3	41.250	7.262
erika	113	221	5	5	0	1	21.267	4.429
frommer	135	45	4	4	0	4	27.959	6.403
wie	135	46768	4	4	0	3	70.487	-3.619
geistvoller	135	8	4	4	0	3	43.787	8.895
wackeren	135	34	4	4	0	4	30.302	6.807
gesetzter	135	19	4	4	0	4	35.344	7.647
geschickter	135	52	4	4	0	4	26.766	6.194
würdigen	135	138	4	4	0	4	18.940	4.786
ehrliche	135	92	4	4	0	4	22.146	5.371
bejahrter	135	12	4	4	0	2	39.610	8.310
gerechter	135	27	4	4	0	3	32.265	7.140
vermögender	135	5	4	4	0	3	49.867	9.573
böser	135	100	4	4	0	4	21.482	5.251
du	135	26617	4	4	0	4	32.460	-2.805
stattliche	135	67	4	4	0	4	24.698	5.828
circa	135	10	4	4	0	1	41.421	8.573
schlanker	135	43	4	4	0	4	28.336	6.468
treuer	135	99	4	4	0	1	21.562	5.265
für	135	25152	4	4	0	4	29.825	-2.724
zweihundert	135	144	4	4	0	2	18.607	4.725
wichtigste	135	101	4	4	0	3	21.403	5.236
feiner	135	150	4	4	0	3	18.289	4.666
intelligenter	135	10	4	4	0	3	41.421	8.573
praktischer	135	24	4	4	0	3	33.284	7.310
kauf	135	63	4	4	0	2	25.198	5.917
vor	159	20994	3	3	0	3	26.203	-2.878
er	159	116714	3	3	0	3	218.801	-5.353
umgänglicher	159	8	3	3	0	2	30.577	8.480
verkleideter	159	9	3	3	0	3	29.707	8.310
rechtschaffener	159	24	3	3	0	3	23.111	6.895
viertausend	159	43	3	3	0	2	19.474	6.053
ausgezeichneter	159	28	3	3	0	3	22.136	6.672
vernünftiger	159	53	3	3	0	3	18.200	5.752
erfahrener	159	28	3	3	0	3	22.136	6.672
ältlicher	159	6	3	3	0	3	32.840	8.895
göttlicher	159	31	3	3	0	3	21.498	6.525
rechtlicher	159	8	3	3	0	2	30.577	8.480
fünfundzwanzigtausend	159	19	3	3	0	2	24.611	7.232
mächtigste	159	16	3	3	0	2	25.736	7.480
verliebter	159	39	3	3	0	2	20.074	6.194
magerer	159	36	3	3	0	3	20.569	6.310
aussehender	159	22	3	3	0	3	23.666	7.020
wunderlicher	159	35	3	3	0	3	20.743	6.350
um	159	27743	3	3	0	2	38.757	-3.280
die	159	214928	3	3	0	2	425.864	-6.234
geachteter	159	7	3	3	0	2	31.599	8.672
denkenden	159	23	3	3	0	3	23.382	6.956
besserer	159	56	3	3	0	2	17.866	5.672
ordentlicher	159	22	3	3	0	3	23.666	7.020
hochgewachsener	159	15	3	3	0	3	26.165	7.573
eine	159	43567	3	3	0	3	69.451	-3.931
gewöhnlicher	159	55	3	3	0	2	17.975	5.698
beneidenswerter	159	4	3	3	0	2	36.655	9.480
aufgegebener	159	4	3	3	0	1	36.655	9.480
weißhaariger	159	5	3	3	0	3	34.426	9.158
erwachsener	159	16	3	3	0	3	25.736	7.480
alternde	159	22	3	3	0	3	23.666	7.020
klaus	159	41	3	3	0	1	19.767	6.122
sich	192	82849	2	2	0	2	155.934	-5.444
voriger	192	7	2	2	0	1	19.069	8.087
tugendhafter	192	9	2	2	0	2	17.914	7.725
herzensguter	192	4	2	2	0	2	21.893	8.895
begünstigter	192	9	2	2	0	2	17.914	7.725
tapferste	192	6	2	2	0	2	19.804	8.310
mehr	192	13960	2	2	0	2	17.394	-2.874
verdienstvollen	192	4	2	2	0	2	21.893	8.895
scharfsichtiger	192	6	2	2	0	2	19.804	8.310
ehrenwerter	192	11	2	2	0	2	17.022	7.435
nach	192	25374	2	2	0	2	39.052	-3.736
das	192	91858	2	2	0	2	174.663	-5.593
gealterte	192	5	2	2	0	2	20.710	8.573
achtzehntausend	192	8	2	2	0	2	18.449	7.895
mir	192	34415	2	2	0	2	56.906	-4.176
doch	192	18441	2	2	0	2	25.717	-3.276
vielerfahrener	192	4	2	2	0	2	21.893	8.895
hatte	192	35127	2	2	0	2	58.327	-4.206
hat	192	18396	2	2	0	2	25.632	-3.273
wieder	192	14987	2	2	0	2	19.272	-2.977
einsichtiger	192	4	2	2	0	2	21.893	8.895
zweiundvierzig	192	5	2	2	0	1	20.710	8.573
gottesfürchtiger	192	5	2	2	0	2	20.710	8.573
untersetzter	192	8	2	2	0	2	18.449	7.895
besonnener	192	5	2	2	0	2	20.710	8.573
wohlerzogener	192	7	2	2	0	2	19.069	8.087
hochanständiger	192	3	2	2	0	2	23.617	9.310
achtzigtausend	192	11	2	2	0	2	17.022	7.435
mittelgroßer	192	3	2	2	0	2	23.617	9.310
hochgewachsenen	192	11	2	2	0	2	17.022	7.435
heißblütiger	192	5	2	2	0	1	20.710	8.573
gottgesandte	192	3	2	2	0	1	23.617	9.310
